ID Pytania,Kategoria,Pytanie (PL),Odpowiedź (PL),Uzasadnienie Biznesowe,Dobra Praktyka UX/Prawna
F001,Obsługa zamówień,Jak mogę sprawdzić status mojego zamówienia?,"Status zamówienia sprawdzisz w mailu z potwierdzeniem albo po zalogowaniu w zakładce „Moje zamówienia”. Po wysyłce dostaniesz link do śledzenia InPost/DPD. Brak aktualizacji? Napisz na kontakt@nordthread.pl z numerem zamówienia.",Redukcja zapytań do BOK.,Auto-tracking link.
F002,Obsługa zamówień,Czy mogę zmienić lub anulować złożone zamówienie?,"Jeśli chcesz zmienić lub anulować zamówienie, skontaktuj się jak najszybciej pod +48 500 123 456 lub kontakt@nordthread.pl. Zmiany są możliwe przed przekazaniem paczki do wysyłki.",Zwiększenie elastyczności.,Szybki kontakt.
F003,Płatności,Jakie metody płatności akceptujecie i czy są one bezpieczne?,"Oferujemy bezpieczne płatności: BLIK, Przelewy24, karty Visa/Mastercard oraz pobranie. Wszystkie transakcje online są szyfrowane i chronione certyfikatem SSL.",Budowanie zaufania.,Logotypy płatności.
F004,Dostawa,Ile kosztuje dostawa i jaki jest czas oczekiwania na przesyłkę?,"InPost Paczkomat: 14,99 PLN (1–2 dni robocze). Kurier DPD: 18,99 PLN (1–2 dni robocze). Odbiór osobisty: 0 PLN. Darmowa dostawa Paczkomatem od 199 PLN. Zwykle wysyłamy w ciągu 1 dnia roboczego od zaksięgowania płatności.",Transparentność kosztów.,Tabela kosztów.
F005,Dostawa,Czy realizujecie wysyłki za granicę?,"Tak, wysyłamy do wybranych krajów UE (m.in. Niemcy, Czechy, Słowacja). Koszty są wyliczane automatycznie w koszyku po wybraniu kraju dostawy.",Zasięg międzynarodowy.,Informacja o cłach.
F006,Zwroty,Jak mogę zwrócić zakupiony produkt?,"Masz 14 dni na zwrot. Napisz na kontakt@nordthread.pl lub skorzystaj z formularza na nordthread.pl/zwroty, a następnie odeślij produkt na: Nordthread, ul. Przykładowa 12, 00-001 Warszawa. Środki zwrócimy w ciągu 14 dni.",Poczucie bezpieczeństwa.,One-click return (2026).
F007,Zwroty,Ile mam czasu na zwrot i czy zwrot jest darmowy?,"Ustawowy czas na zwrot to 14 dni kalendarzowych. Przy odstąpieniu od umowy koszt odesłania ponosi klient. Przy wadzie lub niezgodności z zamówieniem koszt zwrotu pokrywa sklep.",Jasne warunki.,Jasny termin.
F008,Reklamacje,"Co zrobić, jeśli otrzymany produkt jest wadliwy lub niezgodny z zamówieniem (reklamacja)?","W przypadku wady produktu przysługuje Ci reklamacja z tytułu rękojmi (2 lata). Napisz na kontakt@nordthread.pl lub zadzwoń +48 500 123 456 — rozpatrzymy sprawę w ciągu 14 dni i zorganizujemy naprawę lub wymianę.",Profesjonalizm po-sprzedażowy.,14 dni na rozpatrzenie.
F009,Konto i Dane,Jak mogę założyć konto klienta i czy moje dane są bezpieczne?,"Konto założysz w sekcji „Zarejestruj się”. Twoje dane są bezpieczne, przetwarzane zgodnie z RODO i chronione przed dostępem osób trzecich.",Lojalność i RODO.,Zgody marketingowe.
F010,Faktury,Czy mogę otrzymać fakturę VAT za zakup?,"Tak, wystawiamy faktury VAT. Wystarczy zaznaczyć odpowiednią opcję w koszyku i podać NIP firmy. Duplikat wyślemy po mailu na kontakt@nordthread.pl.",Obsługa B2B.,Poprawny NIP.
