ID Pytania,Kategoria,Pytanie (PL),Odpowiedź (PL),Uzasadnienie Biznesowe,Dobra Praktyka UX/Prawna
F001,Obsługa zamówień,Jak mogę sprawdzić status mojego zamówienia?,"Status swojego zamówienia możesz sprawdzić w każdej chwili! Po złożeniu zamówienia otrzymasz od nas e-mail z potwierdzeniem. Dodatkowo, po wysłaniu paczki, otrzymasz link do śledzenia.",Redukcja zapytań do BOK.,Auto-tracking link.
F002,Obsługa zamówień,Czy mogę zmienić lub anulować złożone zamówienie?,"Jeśli chcesz zmienić lub anulować zamówienie, skontaktuj się z nami jak najszybciej pod [Numer Telefonu] lub [E-mail]. Zmiany są możliwe przed przekazaniem paczki do wysyłki.",Zwiększenie elastyczności.,Szybki kontakt.
F003,Płatności,Jakie metody płatności akceptujecie i czy są one bezpieczne?,"Oferujemy bezpieczne płatności: [BLIK, Przelewy24, Karty, Pobranie]. Wszystkie transakcje są szyfrowane i chronione certyfikatem SSL.",Budowanie zaufania.,Logotypy płatności.
F004,Dostawa,Ile kosztuje dostawa i jaki jest czas oczekiwania na przesyłkę?,Koszty dostawy zaczynają się od [Kwota] PLN. Darmowa dostawa obowiązuje od [Kwota] PLN. Czas realizacji to zazwyczaj [Liczba] dni roboczych.,Transparentność kosztów.,Tabela kosztów.
F005,Dostawa,Czy realizujecie wysyłki za granicę?,"Tak, wysyłamy do wybranych krajów UE. Koszty są wyliczane automatycznie w koszyku po wybraniu kraju dostawy.",Zasięg międzynarodowy.,Informacja o cłach.
F006,Zwroty,Jak mogę zwrócić zakupiony produkt?,Masz 14 dni na zwrot. Wypełnij formularz [Link] i odeślij produkt na adres [Adres]. Środki zwrócimy w ciągu 14 dni.,Poczucie bezpieczeństwa.,One-click return (2026).
F007,Zwroty,Ile mam czasu na zwrot i czy zwrot jest darmowy?,Ustawowy czas na zwrot to 14 dni kalendarzowych. Koszt odesłania towaru ponosi [Klient/Sklep].,Jasne warunki.,Jasny termin.
F008,Reklamacje,"Co zrobić, jeśli otrzymany produkt jest wadliwy lub niezgodny z zamówieniem (reklamacja)?","W przypadku wady produktu przysługuje Ci reklamacja z tytułu rękojmi (2 lata). Skontaktuj się z nami, a my zorganizujemy naprawę lub wymianę.",Profesjonalizm po-sprzedażowy.,14 dni na rozpatrzenie.
F009,Konto i Dane,Jak mogę założyć konto klienta i czy moje dane są bezpieczne?,"Konto założysz w sekcji 'Zarejestruj się'. Twoje dane są bezpieczne, przetwarzane zgodnie z RODO i chronione przed dostępem osób trzecich.",Lojalność i RODO.,Zgody marketingowe.
F010,Faktury,Czy mogę otrzymać fakturę VAT za zakup?,"Tak, wystawiamy faktury VAT. Wystarczy zaznaczyć odpowiednią opcję w koszyku i podać NIP firmy.",Obsługa B2B.,Poprawny NIP.
